date,sigma,open,exit_px,t_1.5,disp_1.5,px_1.5_d0,px_1.5_d1,px_1.5_d5,px_1.5_d15,t_2.0,disp_2.0,px_2.0_d0,px_2.0_d1,px_2.0_d5,px_2.0_d15,t_2.5,disp_2.5,px_2.5_d0,px_2.5_d1,px_2.5_d5,px_2.5_d15
2018-06-14,0.001871300034228452,110.098,110.432,135.0,0.002875115919404645,110.415,110.406,110.364,110.395,,,,,,,,,,,,
2018-06-15,0.0018841201262610146,110.692,110.591,,,,,,,,,,,,,,,,,,
2018-06-18,0.0019109789722777082,110.466,110.448,,,,,,,,,,,,,,,,,,
2018-06-19,0.0018613379291132683,109.881,110.025,,,,,,,,,,,,,,,,,,
2018-06-20,0.001904544901684433,110.012,110.144,,,,,,,,,,,,,,,,,,
2018-06-21,0.0018780418331740616,110.542,110.045,48.0,-0.0028264472642262656,110.23,110.256,110.261,110.227,97.0,-0.0038339400088190203,110.119,110.133,110.143,110.148,139.0,-0.004842448818806839,110.008,110.012,109.981,110.011
2018-06-22,0.0019130409733728753,110.167,109.97,167.0,-0.0029726348779464027,109.84,109.873,109.855,,,,,,,,,,,,,
2018-06-25,0.0019619993483609944,109.599,109.597,,,,,,,,,,,,,,,,,,
2018-06-26,0.0019475063125921944,109.572,109.942,135.0,0.0030435875835570936,109.906,109.914,109.946,109.979,143.0,0.0042166295792949345,110.035,110.004,109.991,109.942,,,,,,
2018-06-27,0.0019157582768643626,110.196,110.358,,,,,,,,,,,,,,,,,,
2018-06-28,0.0019364390372202708,110.212,110.366,,,,,,,,,,,,,,,,,,
2018-06-29,0.0019185056920475515,110.661,110.701,,,,,,,,,,,,,,,,,,
2018-07-02,0.001961517302069867,110.748,110.731,,,,,,,,,,,,,,,,,,
2018-07-03,0.0019220728491771502,110.834,110.556,,,,,,,,,,,,,,,,,,
2018-07-04,0.0018939054309046947,110.503,110.51,,,,,,,,,,,,,,,,,,
2018-07-05,0.0019257746528042392,110.691,110.579,,,,,,,,,,,,,,,,,,
2018-07-06,0.0018926984694367524,110.617,110.497,,,,,,,,,,,,,,,,,,
2018-07-09,0.0018778496761559112,110.452,110.767,,,,,,,,,,,,,,,,,,
