date,account_balance
2016-01-25,116641.6
2016-01-26,116641.6
2016-01-27,116641.6
2016-01-28,116641.6
2016-01-29,116641.6
2016-01-30,116641.6
2016-01-31,116641.6
2016-02-01,116641.6
2016-02-02,118366.96
2016-02-03,118366.96
2016-02-04,118366.96
2016-02-05,118366.96
2016-02-06,118366.96
2016-02-07,118366.96
2016-02-08,118366.96
2016-02-09,118366.96
2016-02-10,118366.96
2016-02-11,118366.96
2016-02-12,118764.11
2016-02-13,118764.11
2016-02-14,118764.11
2016-02-15,118764.11
2016-02-16,118764.11
2016-02-17,118764.11
2016-02-18,118764.11
2016-02-19,118764.11
2016-02-20,118764.11
2016-02-21,118764.11
2016-02-22,118764.11
2016-02-23,118764.11
2016-02-24,118764.11
2016-02-25,118764.11
2016-02-26,118764.11
2016-02-27,118764.11
2016-02-28,118764.11
2016-02-29,118764.11
2016-03-01,118764.11
2016-03-02,118764.11
2016-03-03,118764.11
2016-03-04,118764.11
2016-03-05,118764.11
2016-03-06,118764.11
2016-03-07,118764.11
2016-03-08,118764.11
2016-03-09,118764.11
2016-03-10,118764.11
2016-03-11,118764.11
2016-03-12,118764.11
2016-03-13,118764.11
2016-03-14,118764.11
2016-03-15,118764.11
2016-03-16,118764.11
2016-03-17,118764.11
2016-03-18,118764.11
2016-03-19,118764.11
2016-03-20,118764.11
2016-03-21,118764.11
2016-03-22,118764.11
2016-03-23,118764.11
2016-03-24,118764.11
2016-03-25,118764.11
2016-03-26,118764.11
2016-03-27,118764.11
2016-03-28,118764.11
2016-03-29,118764.11
2016-03-30,118764.11
2016-03-31,118764.11
2016-04-01,118764.11
2016-04-02,118764.11
2016-04-03,118764.11
2016-04-04,118764.11
2016-04-05,118764.11
2016-04-06,118764.11
2016-04-07,118764.11
2016-04-08,118764.11
2016-04-09,118764.11
2016-04-10,118764.11
2016-04-11,118764.11
2016-04-12,118764.11
2016-04-13,118764.11
2016-04-14,118764.11
2016-04-15,118764.11
2016-04-16,118764.11
2016-04-17,118764.11
2016-04-18,118764.11
2016-04-19,118764.11
2016-04-20,118764.11
2016-04-21,119275.94
2016-04-22,119275.94
2016-04-23,119275.94
2016-04-24,119275.94
2016-04-25,119275.94
2016-04-26,119275.94
2016-04-27,119275.94
2016-04-28,119275.94
2016-04-29,119275.94
2016-04-30,119275.94
2016-05-01,119275.94
2016-05-02,119275.94
2016-05-03,119275.94
2016-05-04,119275.94
2016-05-05,119275.94
2016-05-06,119275.94
2016-05-07,119275.94
2016-05-08,119275.94
2016-05-09,119275.94
2016-05-10,119275.94
2016-05-11,119275.94
2016-05-12,119275.94
2016-05-13,119275.94
2016-05-14,119275.94
2016-05-15,119275.94
2016-05-16,119275.94
2016-05-17,119275.94
2016-05-18,119275.94
2016-05-19,119275.94
2016-05-20,119275.94
2016-05-21,119275.94
2016-05-22,119275.94
2016-05-23,119275.94
2016-05-24,119275.94
2016-05-25,119275.94
2016-05-26,120489.41
2016-05-27,120489.41
2016-05-28,120489.41
2016-05-29,120489.41
2016-05-30,120489.41
2016-05-31,120489.41
2016-06-01,120489.41
2016-06-02,120489.41
2016-06-03,120489.41
2016-06-04,120489.41
2016-06-05,120489.41
2016-06-06,120489.41
2016-06-07,120489.41
2016-06-08,120489.41
2016-06-09,120489.41
2016-06-10,120489.41
2016-06-11,120489.41
2016-06-12,120489.41
2016-06-13,120489.41
2016-06-14,120489.41
2016-06-15,120489.41
2016-06-16,120489.41
2016-06-17,120489.41
2016-06-18,120489.41
2016-06-19,120489.41
2016-06-20,120489.41
2016-06-21,120489.41
2016-06-22,120489.41
2016-06-23,120489.41
2016-06-24,120489.41
2016-06-25,120489.41
2016-06-26,120489.41
2016-06-27,120489.41
2016-06-28,120489.41
2016-06-29,120489.41
2016-06-30,120489.41
2016-07-01,120489.41
2016-07-02,120489.41
2016-07-03,120489.41
2016-07-04,120489.41
2016-07-05,120489.41
2016-07-06,120489.41
2016-07-07,120489.41
2016-07-08,120489.41
2016-07-09,120489.41
2016-07-10,120489.41
2016-07-11,120489.41
2016-07-12,120489.41
2016-07-13,120489.41
2016-07-14,120489.41
2016-07-15,120489.41
2016-07-16,120489.41
2016-07-17,120489.41
2016-07-18,120489.41
2016-07-19,120489.41
2016-07-20,120489.41
2016-07-21,120489.41
2016-07-22,120489.41
2016-07-23,120489.41
2016-07-24,120489.41
2016-07-25,120489.41
2016-07-26,118586.46
2016-07-27,118586.46
2016-07-28,118586.46
2016-07-29,118586.46
2016-07-30,118586.46
2016-07-31,118586.46
2016-08-01,118586.46
2016-08-02,118586.46
2016-08-03,118586.46
2016-08-04,118586.46
2016-08-05,118586.46
2016-08-06,118586.46
2016-08-07,118586.46
2016-08-08,118586.46
2016-08-09,118586.46
2016-08-10,118586.46
2016-08-11,118586.46
2016-08-12,118586.46
2016-08-13,118586.46
2016-08-14,118586.46
2016-08-15,119224.13
2016-08-16,119224.13
2016-08-17,119224.13
2016-08-18,119224.13
2016-08-19,119224.13
2016-08-20,119224.13
2016-08-21,119224.13
2016-08-22,119224.13
2016-08-23,119224.13
2016-08-24,119224.13
2016-08-25,119224.13
2016-08-26,119224.13
2016-08-27,119224.13
2016-08-28,119224.13
2016-08-29,119224.13
2016-08-30,119224.13
2016-08-31,119224.13
2016-09-01,119224.13
2016-09-02,119224.13
2016-09-03,119224.13
2016-09-04,119224.13
2016-09-05,119224.13
2016-09-06,119224.13
2016-09-07,119224.13
2016-09-08,119224.13
2016-09-09,119224.13
2016-09-10,119224.13
2016-09-11,119224.13
2016-09-12,119224.13
2016-09-13,119224.13
2016-09-14,119224.13
2016-09-15,119224.13
2016-09-16,119224.13
2016-09-17,119224.13
2016-09-18,119224.13
2016-09-19,119224.13
2016-09-20,119224.13
2016-09-21,119224.13
2016-09-22,119224.13
2016-09-23,119224.13
2016-09-24,119224.13
2016-09-25,119224.13
2016-09-26,119224.13
2016-09-27,119224.13
2016-09-28,119224.13
2016-09-29,119224.13
2016-09-30,119224.13
2016-10-01,119224.13
2016-10-02,119224.13
2016-10-03,119224.13
2016-10-04,119224.13
2016-10-05,119224.13
2016-10-06,119224.13
2016-10-07,119224.13
2016-10-08,119224.13
2016-10-09,119224.13
2016-10-10,119224.13
2016-10-11,119224.13
2016-10-12,119224.13
2016-10-13,119224.13
2016-10-14,119224.13
2016-10-15,119224.13
2016-10-16,119224.13
2016-10-17,119224.13
2016-10-18,119224.13
2016-10-19,119224.13
2016-10-20,119224.13
2016-10-21,119224.13
2016-10-22,119224.13
2016-10-23,119224.13
2016-10-24,119224.13
2016-10-25,119224.13
2016-10-26,119224.13
2016-10-27,119224.13
2016-10-28,119224.13
2016-10-29,119224.13
2016-10-30,119224.13
2016-10-31,119224.13
2016-11-01,119224.13
2016-11-02,119224.13
2016-11-03,119224.13
2016-11-04,119224.13
2016-11-05,119224.13
2016-11-06,119224.13
2016-11-07,119224.13
2016-11-08,119224.13
2016-11-09,119224.13
2016-11-10,119224.13
2016-11-11,119224.13
2016-11-12,119224.13
2016-11-13,119224.13
2016-11-14,119224.13
2016-11-15,119224.13
2016-11-16,119224.13
2016-11-17,119224.13
2016-11-18,119224.13
2016-11-19,119224.13
2016-11-20,119224.13
2016-11-21,119224.13
2016-11-22,119224.13
2016-11-23,119224.13
2016-11-24,119224.13
2016-11-25,119224.13
2016-11-26,119224.13
2016-11-27,119224.13
2016-11-28,119224.13
2016-11-29,119224.13
2016-11-30,119224.13
2016-12-01,119224.13
2016-12-02,119224.13
2016-12-03,119224.13
2016-12-04,119224.13
2016-12-05,119224.13
2016-12-06,119224.13
2016-12-07,119224.13
2016-12-08,119224.13
2016-12-09,119224.13
2016-12-10,119224.13
2016-12-11,119224.13
2016-12-12,119224.13
2016-12-13,119224.13
2016-12-14,119224.13
2016-12-15,119224.13
2016-12-16,119224.13
2016-12-17,119224.13
2016-12-18,119224.13
2016-12-19,119224.13
2016-12-20,119224.13
2016-12-21,119224.13
2016-12-22,119224.13
2016-12-23,119224.13
2016-12-24,119224.13
2016-12-25,119224.13
2016-12-26,119224.13
2016-12-27,119224.13
2016-12-28,120381.97
2016-12-29,120381.97
2016-12-30,120381.97
2016-12-31,120381.97
2017-01-01,120381.97
2017-01-02,122094.4
2017-01-03,122094.4
2017-01-04,122094.4
2017-01-05,122094.4
2017-01-06,122094.4
2017-01-07,122094.4
2017-01-08,122094.4
2017-01-09,122094.4
2017-01-10,122094.4
2017-01-11,122094.4
2017-01-12,122094.4
2017-01-13,122094.4
2017-01-14,122094.4
2017-01-15,122094.4
2017-01-16,122094.4
2017-01-17,122976.23
2017-01-18,122976.23
2017-01-19,122976.23
2017-01-20,122976.23
2017-01-21,122976.23
2017-01-22,122976.23
2017-01-23,122976.23
2017-01-24,122976.23
2017-01-25,122976.23
2017-01-26,122976.23
2017-01-27,122976.23
2017-01-28,122976.23
2017-01-29,122976.23
2017-01-30,122976.23
2017-01-31,122976.23
2017-02-01,122976.23
2017-02-02,122976.23
2017-02-03,122976.23
2017-02-04,122976.23
2017-02-05,122976.23
2017-02-06,122976.23
2017-02-07,122976.23
2017-02-08,122976.23
2017-02-09,122976.23
2017-02-10,122976.23
2017-02-11,122976.23
2017-02-12,122976.23
2017-02-13,122976.23
2017-02-14,122976.23
2017-02-15,122976.23
2017-02-16,122976.23
2017-02-17,122976.23
2017-02-18,122976.23
2017-02-19,122976.23
2017-02-20,122976.23
2017-02-21,122976.23
2017-02-22,122976.23
2017-02-23,122976.23
2017-02-24,122976.23
2017-02-25,122976.23
2017-02-26,122976.23
2017-02-27,122976.23
2017-02-28,122976.23
2017-03-01,122976.23
2017-03-02,122976.23
2017-03-03,122976.23
2017-03-04,122976.23
2017-03-05,122976.23
2017-03-06,122976.23
2017-03-07,122976.23
2017-03-08,122976.23
2017-03-09,122976.23
2017-03-10,122976.23
2017-03-11,122976.23
2017-03-12,122976.23
2017-03-13,122976.23
2017-03-14,122976.23
2017-03-15,122976.23
2017-03-16,122976.23
2017-03-17,122976.23
2017-03-18,122976.23
2017-03-19,122976.23
2017-03-20,122976.23
2017-03-21,122976.23
2017-03-22,122976.23
2017-03-23,122976.23
2017-03-24,122976.23
2017-03-25,122976.23
2017-03-26,122976.23
2017-03-27,122976.23
2017-03-28,122976.23
2017-03-29,122976.23
2017-03-30,122976.23
2017-03-31,121002.03
2017-04-01,121002.03
2017-04-02,121002.03
2017-04-03,121002.03
2017-04-04,121002.03
2017-04-05,121002.03
2017-04-06,121002.03
2017-04-07,121002.03
2017-04-08,121002.03
2017-04-09,121002.03
2017-04-10,122147.89
2017-04-11,122147.89
2017-04-12,122147.89
2017-04-13,122147.89
2017-04-14,122147.89
2017-04-15,122147.89
2017-04-16,122147.89
2017-04-17,122147.89
2017-04-18,122147.89
2017-04-19,122147.89
2017-04-20,122147.89
2017-04-21,122147.89
2017-04-22,122147.89
2017-04-23,122147.89
2017-04-24,122147.89
2017-04-25,122147.89
2017-04-26,122147.89
2017-04-27,122147.89
2017-04-28,122147.89
2017-04-29,122147.89
2017-04-30,122147.89
2017-05-01,122147.89
2017-05-02,122147.89
2017-05-03,122147.89
2017-05-04,122147.89
2017-05-05,122147.89
2017-05-06,122147.89
2017-05-07,122147.89
2017-05-08,122147.89
2017-05-09,122147.89
2017-05-10,122147.89
2017-05-11,122147.89
2017-05-12,122147.89
2017-05-13,122147.89
2017-05-14,122147.89
2017-05-15,122147.89
2017-05-16,122147.89
2017-05-17,122147.89
2017-05-18,122147.89
2017-05-19,122147.89
2017-05-20,122147.89
2017-05-21,122147.89
2017-05-22,122147.89
2017-05-23,122147.89
2017-05-24,122147.89
2017-05-25,122147.89
2017-05-26,122147.89
2017-05-27,122147.89
2017-05-28,122147.89
2017-05-29,122147.89
2017-05-30,122147.89
2017-05-31,122147.89
2017-06-01,122147.89
2017-06-02,122147.89
2017-06-03,122147.89
2017-06-04,122147.89
2017-06-05,122147.89
2017-06-06,122147.89
2017-06-07,122147.89
2017-06-08,122147.89
2017-06-09,122147.89
2017-06-10,122147.89
2017-06-11,122147.89
2017-06-12,122147.89
2017-06-13,122147.89
2017-06-14,122147.89
2017-06-15,122147.89
2017-06-16,122147.89
2017-06-17,122147.89
2017-06-18,122147.89
2017-06-19,122147.89
2017-06-20,122147.89
2017-06-21,122147.89
2017-06-22,122147.89
2017-06-23,122147.89
2017-06-24,122147.89
2017-06-25,122147.89
2017-06-26,122147.89
2017-06-27,122147.89
2017-06-28,122147.89
2017-06-29,122147.89
2017-06-30,122147.89
2017-07-01,122147.89
2017-07-02,122147.89
2017-07-03,122147.89
2017-07-04,122147.89
2017-07-05,124017.91
2017-07-06,124017.91
2017-07-07,124017.91
2017-07-08,124017.91
2017-07-09,124017.91
2017-07-10,124017.91
2017-07-11,124017.91
2017-07-12,124017.91
2017-07-13,124017.91
2017-07-14,124017.91
2017-07-15,124017.91
2017-07-16,124017.91
2017-07-17,124017.91
2017-07-18,124017.91
2017-07-19,124017.91
2017-07-20,124017.91
2017-07-21,124017.91
2017-07-22,124017.91
2017-07-23,124017.91
2017-07-24,124017.91
2017-07-25,124017.91
2017-07-26,124300.89
